intron	logef	Col	prmt5	deltapsi
chr1:10448745:10448846:clu_1001_NA	-0.0200095255104404	0.140041755619191	0.135291323651432	-0.00475043196775912
chr1:10448745:10448849:clu_1001_NA	0.0200095255104404	0.859958244380809	0.864708676348568	0.00475043196775915
chr1:10472532:10475084:clu_1002_NA	-0.176305338968752	0.00335626969160603	0.00334476747370387	-1.15022179021595e-05
chr1:10472587:10475084:clu_1002_NA	-0.179003334838348	0.00378437982264307	0.00376124889967089	-2.31309229721801e-05
chr1:10472610:10475084:clu_1002_NA	0.87299481701064	0.00154689304672641	0.00440224932016613	0.00285535627343972
chr1:10472610:10475184:clu_1002_NA	-0.175437952981	0.00689473483749817	0.00687706848916341	-1.76663483347633e-05
chr1:10472610:10475257:clu_1002_NA	-0.183385392794084	0.111766068548343	0.110597224036576	-0.00116884451176621
chr1:10472726:10475257:clu_1002_NA	0.0230636975949224	0.0276375343088872	0.0336196546009249	0.00598212029203776
chr1:10472726:10475373:clu_1002_NA	-0.18192649502338	0.845014119744297	0.837397787179795	-0.00761633256450212
chr1:10475178:10478679:clu_1007_NA	-0.0033194489640111	0.135986080035741	0.14172407549446	0.00573799545871886
chr1:10475256:10478644:clu_1007_NA	-0.205092420377564	0.437970222694079	0.373048135557453	-0.0649220871366258
chr1:10475256:10478679:clu_1007_NA	-0.154619142885361	0.126154923246716	0.113017256163458	-0.0131376670832579
chr1:10475256:10478778:clu_1007_NA	0.215151004579573	0.102560267607516	0.132986891754081	0.0304266241465647
chr1:10475331:10478644:clu_1007_NA	0.147880007647364	0.197328506415948	0.239223641030548	0.0418951346146001
chr1:10589239:10589452:clu_1009_NA	-0.185298186112121	0.829729645788767	0.770849834605852	-0.058879811182915
chr1:10589239:10589462:clu_1009_NA	0.185298186112121	0.170270354211233	0.229150165394148	0.0588798111829151
chr1:10626309:10626650:clu_1010_NA	-0.191131380801814	0.556815919045757	0.461572608641353	-0.0952433104044048
chr1:10626309:10626661:clu_1010_NA	0.191131380801814	0.443184080954243	0.538427391358647	0.0952433104044048
chr1:10638972:10639260:clu_1011_NA	-0.00468280052703473	0.989869374216982	0.98977502382265	-9.43503943313662e-05
chr1:10639025:10639260:clu_1011_NA	0.00468280052703478	0.0101306257830182	0.0102249761773496	9.43503943313957e-05
chr1:10689901:10689994:clu_1013_NA	-0.290653866832673	0.388464843226678	0.262100908224993	-0.126363935001684
chr1:10689907:10689994:clu_1013_NA	0.290653866832673	0.611535156773322	0.737899091775007	0.126363935001684
chr1:10716691:10716786:clu_1014_NA	-0.571864593888539	0.990013184735644	0.969312252274238	-0.0207009324614057
chr1:10716695:10716786:clu_1014_NA	0.571864593888539	0.00998681526435595	0.0306877477257616	0.0207009324614056
chr1:10740482:10740648:clu_1015_NA	-0.854838206243089	0.843500688094122	0.493708505093398	-0.349792183000724
chr1:10740486:10740648:clu_1015_NA	0.854838206243089	0.156499311905878	0.506291494906602	0.349792183000724
chr1:10743999:10744171:clu_1017_NA	0.145386058345963	0.0892477908532938	0.115875446125973	0.0266276552726795
chr1:10743999:10744177:clu_1017_NA	-0.145386058345963	0.910752209146706	0.884124553874027	-0.0266276552726796
chr1:10808400:10808573:clu_1019_NA	-0.0594672574179266	0.19841328820653	0.180173050737232	-0.0182402374692979
chr1:10808403:10808573:clu_1019_NA	0.0594672574179266	0.80158671179347	0.819826949262768	0.0182402374692979
chr1:10812093:10812200:clu_1020_NA	0.289368663416068	0.129629647008689	0.209904696868485	0.0802750498597953
chr1:10812104:10812200:clu_1020_NA	-0.289368663416068	0.87037035299131	0.790095303131515	-0.0802750498597953
chr1:10837560:10837705:clu_1021_NA	0.108452573230414	0.0238421356517283	0.023246306109199	-0.000595829542529333
chr1:10837560:10837870:clu_1021_NA	-0.399298529788287	0.0297274842216804	0.0174442962201418	-0.0122831880015386
chr1:10837588:10837705:clu_1021_NA	0.100027238399794	0.464616442897478	0.449204705405914	-0.0154117374915647
chr1:10837773:10837870:clu_1021_NA	0.190818718158078	0.481813937229113	0.510104692264746	0.0282907550356324
chr1:10838450:10838550:clu_1022_NA	0.260656155145601	0.0457630760653066	0.0747356602429303	0.0289725841776237
chr1:10838457:10838550:clu_1022_NA	-0.260656155145601	0.954236923934693	0.92526433975707	-0.0289725841776237
chr1:10839593:10839769:clu_1023_NA	-0.0889269125502273	0.447419659764954	0.40396872720484	-0.0434509325601144
chr1:10839596:10839769:clu_1023_NA	0.0889269125502273	0.552580340235046	0.59603127279516	0.0434509325601145
chr1:10863480:10863692:clu_1024_NA	-0.153418986271714	0.231266659209922	0.181233793366383	-0.0500328658435391
chr1:10863480:10863705:clu_1024_NA	0.153418986271714	0.768733340790078	0.818766206633617	0.0500328658435392
chr1:10887827:10888276:clu_1025_NA	0.177952196787803	0.880173446206322	0.912932484226957	0.0327590380206351
chr1:10887850:10888276:clu_1025_NA	-0.177952196787803	0.119826553793678	0.0870675157730427	-0.032759038020635
chr1:11057901:11057986:clu_1026_NA	-0.0665991348290664	0.832238877608348	0.812811054297274	-0.0194278233110735
chr1:11057901:11057990:clu_1026_NA	0.0665991348290664	0.167761122391652	0.187188945702726	0.0194278233110736
chr1:11123146:11123404:clu_1027_NA	-0.0320150999254563	0.96448682290792	0.962227230038988	-0.00225959286893196
chr1:11123193:11123404:clu_1027_NA	0.0320150999254562	0.0355131770920797	0.0377727699610116	0.00225959286893194
chr1:11133840:11133927:clu_1028_NA	-0.0437031220184285	0.0311312457778696	0.0286002281499619	-0.0025310176279077
chr1:11133846:11133927:clu_1028_NA	0.0437031220184285	0.96886875422213	0.971399771850038	0.00253101762790764
chr1:11134125:11134213:clu_1029_NA	0.0924452212425082	0.93109370939699	0.942051370948	0.0109576615510105
chr1:11134125:11134342:clu_1029_NA	-0.0924452212425082	0.0689062906030102	0.0579486290519996	-0.0109576615510106
chr1:11146423:11146497:clu_1030_NA	-0.164102978302076	0.0198194269461285	0.0143538367450373	-0.00546559020109124
chr1:11146423:11146510:clu_1030_NA	0.164102978302076	0.980180573053871	0.985646163254963	0.00546559020109139
chr1:11182197:11182404:clu_1031_NA	0.270047778675836	0.740341502162743	0.830311965009001	0.0899704628462585
chr1:11182197:11182407:clu_1031_NA	-0.270047778675836	0.259658497837257	0.169688034990999	-0.0899704628462585
chr1:11193838:11194238:clu_1032_NA	0.183572152774292	0.65646082879356	0.733940147613828	0.0774793188202674
chr1:11193980:11194238:clu_1032_NA	-0.183572152774292	0.34353917120644	0.266059852386172	-0.0774793188202674
chr1:11248342:11248520:clu_1033_NA	-0.159922104650681	0.199364356029388	0.153148658833852	-0.0462156971955356
