ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953969	16954119	0	194,118,230	73,70,112	129,85,171	105,74,114	198	99	0.00125467184293	0.0423003649902	0.571,0.457,0.507	0.381,0.365,0.429	0.12
1	"AT4G35785"	"AT4G35785"	chr4	-	16954236	16954336	16954236	16954333	16954428	16954452	1	220,160,268	14,5,11	178,106,173	8,5,11	101	99	0.778508506775	1.0	0.939,0.969,0.96	0.956,0.954,0.939	0.006
2	"AT4G35785"	"AT4G35785"	chr4	-	16954428	16954497	16954428	16954452	16954564	16954705	2	8,4,7	208,138,256	4,5,7	174,112,174	143	99	0.884525262807	1.0	0.026,0.02,0.019	0.016,0.03,0.027	-0.003
3	"AT4G32590"	"AT4G32590"	chr4	+	15722724	15722869	15722740	15722869	15722545	15722608	3	2,0,1	217,151,241	1,2,4	505,376,615	114	99	1	1.0	0.008,0.0,0.004	0.002,0.005,0.006	-0.0
4	"AT1G74560"	"NRP1"	chr1	-	28018137	28018197	28018137	28018194	28018286	28018350	4	17,16,22	599,395,824	13,11,17	467,373,557	101	99	0.814201608534	1.0	0.027,0.038,0.026	0.027,0.028,0.029	0.002
5	"AT2G46640"	"AT2G46640"	chr2	+	19149186	19149509	19149192	19149509	19148892	19148938	5	35,32,57	12,12,23	62,27,56	57,6,23	104	99	0.389551612512	1.0	0.735,0.717,0.702	0.509,0.811,0.699	0.045
6	"AT1G77600"	"AT1G77600"	chr1	-	29153069	29153164	29153069	29153143	29153437	29153544	6	3,3,3	35,26,44	3,1,2	53,44,58	119	99	0.124906731891	0.776801260636	0.067,0.088,0.054	0.045,0.019,0.028	0.039
9	"AT1G61900"	"AT1G61900"	chr1	-	22882672	22882717	22882672	22882710	22882814	22882958	9	96,68,136	0,0,2	164,99,200	0,1,0	105	99	1	1.0	1.0,1.0,0.985	1.0,0.989,1.0	-0.001
10	"AT5G51230"	"EMF2"	chr5	+	20827583	20827684	20827598	20827684	20827453	20827500	10	116,89,164	0,4,1	116,65,69	0,2,6	113	99	0.128501024918	0.776801260636	1.0,0.951,0.993	1.0,0.966,0.91	0.023
11	"AT4G37180"	"AT4G37180"	chr4	+	17504944	17505126	17504965	17505126	17504563	17504873	11	0,0,2	84,73,90	1,0,0	91,40,84	119	99	1	1.0	0.0,0.0,0.018	0.009,0.0,0.0	0.003
12	"AT4G02260"	"RSH1"	chr4	+	988615	988681	988618	988681	988442	988503	12	61,29,61	117,80,140	70,33,67	117,51,113	101	99	0.0554417036282	0.544781450284	0.338,0.262,0.299	0.37,0.388,0.368	-0.076
13	"AT5G14060"	"AK2"	chr5	+	4536066	4536532	4536072	4536532	4535400	4535724	13	126,131,141	234,224,327	230,80,228	493,139,484	104	99	0.727980953564	1.0	0.339,0.358,0.291	0.308,0.354,0.31	0.005
15	"AT2G01750"	"MAP70.3"	chr2	+	331805	332113	331808	332113	331508	331702	15	0,1,9	31,27,46	3,5,6	42,19,41	101	99	0.322984654872	1.0	0.0,0.035,0.161	0.065,0.205,0.125	-0.066
16	"AT3G04030"	"AT3G04030"	chr3	-	1042881	1043606	1042881	1043588	1043771	1043841	16	14,19,30	7,6,11	24,13,15	4,8,10	116	99	0.849688136098	1.0	0.631,0.73,0.699	0.837,0.581,0.561	0.027
17	"AT2G43190"	"AT2G43190"	chr2	+	17956516	17956599	17956519	17956599	17956198	17956430	17	13,15,17	23,4,12	12,8,22	17,14,13	101	99	0.439102278497	1.0	0.357,0.786,0.581	0.409,0.359,0.624	0.111
18	"AT3G03100"	"AT3G03100"	chr3	-	705821	705931	705821	705927	706210	706302	18	634,482,849	0,0,0	696,464,807	0,0,2	102	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.997	0.001
20	"AT5G59210"	"AT5G59210"	chr5	-	23891670	23891705	23891670	23891702	23891903	23892030	20	84,88,114	5,2,1	98,68,112	6,2,7	101	99	0.0900092554015	0.649867112483	0.943,0.977,0.991	0.941,0.971,0.94	0.02
21	"AT4G22230"	"AT4G22230"	chr4	+	11762454	11762688	11762457	11762688	11762291	11762367	21	12,3,11	0,1,0	22,18,20	0,0,1	101	99	1	1.0	1.0,0.746,1.0	1.0,1.0,0.951	-0.068
22	"AT3G21070"	"NADK1"	chr3	-	7381526	7381618	7381526	7381600	7381737	7381844	22	4,1,1	179,126,211	3,0,2	89,49,108	116	99	0.709763274238	1.0	0.019,0.007,0.004	0.028,0.0,0.016	-0.005
23	"AT4G18975"	"AT4G18975"	chr4	-	10393265	10393321	10393265	10393314	10393418	10393520	23	81,69,101	6,2,3	132,59,132	5,1,7	105	99	0.817225900661	1.0	0.927,0.97,0.969	0.961,0.982,0.947	-0.008
24	"AT1G52870"	"AT1G52870"	chr1	+	19687276	19687392	19687280	19687392	19686913	19687201	24	481,427,669	4,0,0	788,603,1035	6,6,3	102	99	1	1.0	0.992,1.0,1.0	0.992,0.99,0.997	0.004
25	"AT5G45940"	"NUDT11"	chr5	-	18629561	18629871	18629561	18629866	18629960	18630080	25	27,28,50	19,14,19	42,47,56	26,21,29	103	99	0.811486078228	1.0	0.577,0.658,0.717	0.608,0.683,0.65	0.004
26	"AT4G19110"	"AT4G19110"	chr4	-	10454528	10455020	10454528	10455011	10455114	10455342	26	221,158,275	344,274,452	198,154,195	376,266,425	107	99	0.127019667082	0.776801260636	0.373,0.348,0.36	0.328,0.349,0.298	0.035
27	"AT1G36070"	"AT1G36070"	chr1	-	13470095	13470269	13470095	13470266	13470338	13470394	27	29,25,38	10,12,24	32,19,35	10,2,17	101	99	0.170901711478	0.876937937731	0.74,0.671,0.608	0.758,0.903,0.669	-0.104
28	"AT1G26630"	"ELF5A-2"	chr1	+	9206971	9207383	9206993	9207383	9206816	9206891	28	6,2,9	3563,2866,5237	5,3,9	4276,2719,4569	120	99	1	1.0	0.001,0.001,0.001	0.001,0.001,0.002	-0.0
29	"AT2G26970"	"AT2G26970"	chr2	-	11511521	11511605	11511521	11511593	11511824	11511914	29	35,40,53	2,1,2	82,29,78	1,2,0	110	99	1	1.0	0.94,0.973,0.96	0.987,0.929,1.0	-0.014
30	"AT2G02740"	"WHY3"	chr2	+	770558	770635	770561	770635	770375	770470	30	100,89,156	0,3,0	110,82,112	0,0,2	101	99	1	1.0	1.0,0.967,1.0	1.0,1.0,0.982	-0.005
31	"AT1G67325"	"AT1G67325"	chr1	-	25210282	25210310	25210282	25210307	25210503	25210613	31	58,55,69	15,17,18	89,56,92	30,18,37	101	99	0.205294763447	0.953731578218	0.791,0.76,0.79	0.744,0.753,0.709	0.045
32	"AT1G07890"	"APX1"	chr1	+	2437677	2437741	2437680	2437741	2437477	2437555	32	1,4,3	16,7,18	11,0,8	13,8,10	101	99	0.117859966687	0.775927285437	0.058,0.359,0.14	0.453,0.0,0.44	-0.112
33	"AT1G62610"	"AT1G62610"	chr1	-	23181462	23182358	23181462	23182355	23182436	23182482	33	1,0,1	0,0,0	0,0,1	1,0,0	101	99	1	1.0	1.0,NA,1.0	0.0,NA,1.0	0.5
34	"AT1G62610"	"AT1G62610"	chr1	-	23181462	23182358	23181462	23182355	23182684	23183227	34	0,1,0	5,3,6	0,0,0	5,5,5	101	99	1	1.0	0.0,0.246,0.0	0.0,0.0,0.0	0.082
37	"AT5G13480"	"FY"	chr5	-	4330914	4331052	4330914	4330983	4331261	4331353	37	0,0,0	44,41,57	1,0,1	52,21,48	167	99	1	1.0	0.0,0.0,0.0	0.011,0.0,0.012	-0.008
38	"AT2G38660"	"FOLD1"	chr2	+	16167668	16167836	16167670	16167836	16167333	16167570	38	55,48,74	16,9,21	66,31,50	17,8,17	100	99	0.723168626624	1.0	0.773,0.841,0.777	0.794,0.793,0.744	0.02
39	"AT5G56370"	"AT5G56370"	chr5	-	22836800	22837682	22836800	22837652	22837857	22837941	39	1,2,0	17,17,14	0,0,1	14,3,19	128	99	0.688096364646	1.0	0.044,0.083,0.0	0.0,0.0,0.039	0.029
40	"AT5G13660"	"AT5G13660"	chr5	+	4406443	4406515	4406446	4406515	4405093	4406365	40	11,6,3	8,20,21	4,2,4	17,8,24	101	99	0.170053122579	0.876937937731	0.574,0.227,0.123	0.187,0.197,0.14	0.133
41	"AT5G09860"	"THO1"	chr5	+	3069215	3069332	3069218	3069332	3069041	3069083	41	42,41,58	25,31,48	50,28,47	44,24,33	101	99	0.642029603387	1.0	0.622,0.565,0.542	0.527,0.533,0.583	0.029
42	"AT3G17590"	"BSH"	chr3	-	6019351	6019446	6019351	6019440	6019541	6019666	42	1,0,3	69,48,99	2,0,0	68,31,54	104	99	1	1.0	0.014,0.0,0.028	0.027,0.0,0.0	0.005
43	"AT2G33500"	"COL14"	chr2	-	14188339	14188587	14188339	14188584	14188950	14189100	43	7,10,22	12,18,29	18,11,17	33,8,35	101	99	0.95849397306	1.0	0.364,0.353,0.426	0.348,0.574,0.323	-0.034
44	"AT1G27385"	"AT1G27385"	chr1	-	9512115	9512219	9512115	9512216	9512570	9512820	44	173,130,175	0,2,2	269,110,258	1,0,4	101	99	1	1.0	1.0,0.985,0.988	0.996,1.0,0.984	-0.002
46	"AT3G15395"	"AT3G15395"	chr3	+	5200969	5201089	5201004	5201089	5200850	5200880	46	9,3,5	1,0,1	4,6,12	0,2,3	133	99	0.0245330174485	0.340576006932	0.87,1.0,0.788	1.0,0.691,0.749	0.073
47	"AT5G07770"	"FH16"	chr5	+	2475710	2475955	2475908	2475955	2475229	2475350	47	16,9,23	0,0,2	29,6,26	0,0,0	198	99	1	1.0	1.0,1.0,0.852	1.0,1.0,1.0	-0.049
48	"AT2G42380"	"BZIP34"	chr2	-	17647573	17647700	17647573	17647687	17647814	17647905	48	54,47,76	0,0,0	100,55,99	0,0,2	111	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.978	0.007
49	"AT1G08420"	"BSL2"	chr1	+	2652965	2653145	2652980	2653145	2652660	2652742	49	70,50,97	2,0,1	115,46,103	0,0,1	113	99	1	1.0	0.968,1.0,0.988	1.0,1.0,0.989	-0.011
50	"AT1G75170"	"AT1G75170"	chr1	+	28214829	28214928	28214836	28214928	28214570	28214747	50	56,46,86	0,0,1	72,39,80	0,1,2	105	99	1	1.0	1.0,1.0,0.988	1.0,0.974,0.974	0.013
51	"AT1G14170"	"AT1G14170"	chr1	-	4844653	4845150	4844653	4845126	4845225	4845283	51	5,5,8	0,0,1	25,9,27	0,0,0	122	99	1	1.0	1.0,1.0,0.867	1.0,1.0,1.0	-0.044
52	"AT3G15640"	"COX5B-1"	chr3	+	5299666	5299752	5299669	5299752	5299109	5299450	52	381,313,599	11,7,25	539,373,582	24,21,23	101	99	0.108610451794	0.753653894339	0.971,0.978,0.959	0.957,0.946,0.961	0.015
53	"AT4G23980"	"ARF9"	chr4	+	12453719	12454189	12453725	12454189	12453492	12453640	53	59,55,68	3,0,5	64,54,76	4,9,2	104	99	0.114105853042	0.769399466226	0.949,1.0,0.928	0.938,0.851,0.973	0.038
55	"AT3G25230"	"FKBP62"	chr3	+	9191128	9191419	9191131	9191419	9190933	9191030	55	266,183,341	0,0,2	274,201,298	0,0,1	101	99	1	1.0	1.0,1.0,0.994	1.0,1.0,0.997	-0.001
57	"AT3G60600"	"PVA11"	chr3	+	22401501	22401990	22401521	22401990	22401284	22401440	57	6,9,7	411,351,523	9,6,10	568,344,617	118	99	0.948035184932	1.0	0.012,0.021,0.011	0.013,0.014,0.013	0.001
59	"AT5G58790"	"AT5G58790"	chr5	+	23745447	23745636	23745467	23745636	23745249	23745359	59	16,2,3	14,3,9	8,12,6	2,2,5	118	99	0.00893551768246	0.175731847755	0.489,0.359,0.219	0.77,0.834,0.502	-0.346
63	"AT4G33240"	"FAB1A"	chr4	-	16035782	16036505	16035782	16036502	16036679	16037358	63	25,24,49	21,30,17	32,11,53	16,6,30	101	99	0.379271253658	1.0	0.539,0.44,0.739	0.662,0.642,0.634	-0.073
65	"AT3G08505"	"MKRN"	chr3	-	2580076	2580288	2580076	2580280	2580376	2580455	65	37,29,37	1,0,0	49,26,43	0,0,1	106	99	1	1.0	0.972,1.0,1.0	1.0,1.0,0.976	-0.001
66	"AT4G18020"	"APRR2"	chr4	-	10006534	10006775	10006534	10006755	10007397	10007491	66	29,32,30	8,11,21	44,18,50	10,3,17	118	99	0.140015085259	0.798153626114	0.753,0.709,0.545	0.787,0.834,0.712	-0.109
67	"AT1G59750"	"ARF1"	chr1	+	21983071	21983541	21983080	21983541	21982823	21982989	67	4,4,12	37,20,39	0,4,6	30,18,28	107	99	0.205212563801	0.953731578218	0.091,0.156,0.222	0.0,0.171,0.165	0.044
68	"AT1G59750"	"ARF1"	chr1	+	21983071	21983541	21983080	21983541	21982823	21982995	68	153,111,183	40,27,43	131,72,150	27,16,52	107	99	0.720483767508	1.0	0.78,0.792,0.797	0.818,0.806,0.727	0.006
69	"AT5G20090"	"MPC1"	chr5	-	6787901	6788005	6787901	6788002	6788522	6788637	69	271,206,389	67,64,71	348,196,332	62,67,103	101	99	0.430680045029	1.0	0.799,0.759,0.843	0.846,0.741,0.76	0.018
70	"AT2G26430"	"CYCL1-1"	chr2	-	11245186	11245268	11245186	11245261	11245352	11245528	70	63,58,97	0,0,3	97,37,89	1,0,0	105	99	1	1.0	1.0,1.0,0.968	0.989,1.0,1.0	-0.007
71	"AT1G27760"	"SAT32"	chr1	+	9669341	9669422	9669353	9669422	9669096	9669265	71	238,190,268	2,1,3	236,121,233	3,5,5	110	99	0.0883908551578	0.645940412835	0.991,0.994,0.988	0.986,0.956,0.977	0.018
72	"AT5G15070"	"AT5G15070"	chr5	+	4885144	4885249	4885174	4885249	4884899	4885067	72	0,1,2	20,17,35	1,0,1	16,21,19	128	99	1	1.0	0.0,0.044,0.042	0.046,0.0,0.039	0.0
73	"AT5G49020"	"PRMT14"	chr5	+	19872192	19872339	19872198	19872339	19871952	19872061	73	38,28,44	3,5,8	64,26,59	2,3,4	104	99	0.0332430377627	0.400273311837	0.923,0.842,0.84	0.968,0.892,0.934	-0.063
74	"AT2G37340"	"RS2Z33"	chr2	-	15671560	15671818	15671560	15671600	15672224	15672338	74	32,22,62	223,184,332	48,34,50	411,204,412	198	99	0.28978035258	1.0	0.067,0.056,0.085	0.055,0.077,0.057	0.006
75	"AT5G13980"	"AT5G13980"	chr5	+	4513925	4514025	4513956	4514025	4513841	4513889	75	7,6,11	201,135,257	9,8,12	232,155,275	129	99	0.759433665016	1.0	0.026,0.033,0.032	0.029,0.038,0.032	-0.003
77	"AT1G18270"	"AT1G18270"	chr1	-	6292979	6293063	6292979	6293060	6293295	6293371	77	0,0,3	28,35,66	1,1,5	92,19,57	101	99	0.134537043644	0.789500379217	0.0,0.0,0.043	0.011,0.049,0.079	-0.032
78	"AT3G06550"	"AT3G06550"	chr3	-	2042169	2042313	2042169	2042310	2042400	2042492	78	51,62,106	27,30,28	138,34,161	47,16,44	101	99	0.385556047987	1.0	0.649,0.67,0.788	0.742,0.676,0.782	-0.031
79	"AT5G65640"	"BHLH93"	chr5	+	26238553	26238721	26238563	26238721	26238239	26238422	79	154,115,145	0,1,3	169,109,161	0,0,2	108	99	1	1.0	1.0,0.991,0.978	1.0,1.0,0.987	-0.006
80	"AT1G52560"	"HSP26.5"	chr1	-	19574759	19575201	19574759	19575180	19575486	19575866	80	4,3,6	0,0,1	6,6,17	0,0,2	119	99	1	1.0	1.0,1.0,0.833	1.0,1.0,0.876	-0.014
81	"AT5G02840"	"RVE4"	chr5	+	651161	651286	651183	651286	650860	650920	81	181,136,199	33,26,51	313,180,348	74,34,70	120	99	0.997134278822	1.0	0.819,0.812,0.763	0.777,0.814,0.804	-0.0
82	"AT5G06839"	"TGA10"	chr5	+	2122774	2123049	2122777	2123049	2122602	2122684	82	3,0,4	24,12,40	3,1,2	30,16,13	101	99	0.532145341197	1.0	0.109,0.0,0.089	0.089,0.058,0.131	-0.027
83	"AT3G04520"	"THA2"	chr3	-	1217911	1217970	1217911	1217967	1218071	1218204	83	98,94,122	0,0,1	155,100,189	1,5,0	101	99	0.923691776942	1.0	1.0,1.0,0.992	0.993,0.951,1.0	0.016
86	"AT2G30390"	"FC2"	chr2	-	12952011	12952194	12952011	12952164	12952286	12952413	86	0,0,0	322,306,436	0,0,2	451,294,542	128	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.003	-0.001
88	"AT5G04430"	"BTR1"	chr5	-	1251439	1251564	1251439	1251501	1252064	1252258	88	307,263,314	323,243,420	314,183,303	371,271,549	161	99	0.00981643489931	0.184756872339	0.369,0.4,0.315	0.342,0.293,0.253	0.065
89	"AT3G45090"	"AT3G45090"	chr3	-	16493512	16493811	16493512	16493806	16494299	16494454	89	62,44,84	0,0,0	61,27,67	1,0,0	103	99	1	1.0	1.0,1.0,1.0	0.983,1.0,1.0	0.006
90	"AT1G51980"	"AT1G51980"	chr1	-	19323827	19323940	19323827	19323932	19324050	19324100	90	415,336,555	0,1,0	562,410,636	2,0,0	106	99	1	1.0	1.0,0.997,1.0	0.996,1.0,1.0	0.0
91	"AT1G67840"	"CSK"	chr1	+	25436194	25436472	25436198	25436472	25435893	25436099	91	24,9,25	141,101,164	31,18,20	210,126,224	102	99	0.542845105918	1.0	0.142,0.08,0.129	0.125,0.122,0.08	0.008
92	"AT1G55310"	"SCL33"	chr1	+	20632147	20632279	20632150	20632279	20631884	20632055	92	62,50,64	117,69,145	60,29,73	136,74,132	101	99	0.402165584867	1.0	0.342,0.415,0.302	0.302,0.278,0.352	0.042
93	"AT3G57550"	"GK-2"	chr3	+	21308930	21309027	21308933	21309027	21308800	21308846	93	8,1,4	132,73,134	3,5,4	135,92,124	101	99	0.918435936901	1.0	0.056,0.013,0.028	0.021,0.051,0.031	-0.002
94	"AT5G49970"	"PPOX1"	chr5	+	20330718	20330961	20330751	20330961	20330442	20330609	94	205,159,232	1,0,0	246,133,320	0,0,2	131	99	1	1.0	0.994,1.0,1.0	1.0,1.0,0.992	0.001
95	"AT1G05710"	"AT1G05710"	chr1	+	1716558	1716735	1716690	1716735	1716418	1716484	95	137,94,171	3,0,0	106,51,116	0,1,0	198	99	1	1.0	0.958,1.0,1.0	1.0,0.962,1.0	-0.001
96	"AT4G30560"	"CNGC9"	chr4	-	14928876	14929484	14928876	14929465	14929613	14929717	96	9,4,7	3,7,4	12,7,12	6,0,8	117	99	0.306736554117	1.0	0.717,0.326,0.597	0.629,1.0,0.559	-0.183
98	"AT5G44785"	"OSB3"	chr5	-	18071545	18071616	18071545	18071610	18071696	18071847	98	3,0,6	98,87,152	6,0,2	129,88,170	104	99	0.603770164695	1.0	0.028,0.0,0.036	0.042,0.0,0.011	0.004
99	"AT2G30140"	"UGT87A2"	chr2	+	12872819	12873820	12872822	12873820	12872133	12872695	99	65,41,77	2,9,6	55,44,64	2,2,3	101	99	0.0465929731855	0.490890253204	0.97,0.817,0.926	0.964,0.956,0.954	-0.054
100	"AT1G75560"	"AT1G75560"	chr1	-	28372562	28373050	28372562	28372748	28373191	28373241	100	0,1,0	52,37,61	1,0,0	99,47,85	198	99	1	1.0	0.0,0.013,0.0	0.005,0.0,0.0	0.003
101	"AT3G04630"	"WDL1"	chr3	+	1259566	1259661	1259569	1259661	1259226	1259461	101	87,55,101	95,71,87	85,60,112	58,56,90	101	99	0.0818985170145	0.645940412835	0.473,0.432,0.532	0.59,0.512,0.55	-0.072
102	"AT5G38520"	"AT5G38520"	chr5	+	15422476	15422690	15422512	15422690	15422286	15422380	102	1,1,2	558,425,674	3,0,2	780,432,920	134	99	1	1.0	0.001,0.002,0.002	0.003,0.0,0.002	0.0
103	"AT1G54610"	"AT1G54610"	chr1	-	20393791	20394264	20393791	20394261	20394584	20394702	103	3,4,16	166,145,226	2,7,10	209,115,204	101	99	0.622594324408	1.0	0.017,0.026,0.065	0.009,0.056,0.046	-0.001
104	"AT5G36930"	"AT5G36930"	chr5	-	14571428	14571933	14571428	14571909	14572404	14572449	104	3,4,6	13,9,24	11,1,1	36,21,24	122	99	0.208956611689	0.955535833614	0.158,0.265,0.169	0.199,0.037,0.033	0.108
105	"AT4G24190"	"SHD"	chr4	-	12555562	12555680	12555562	12555676	12555784	12555909	105	640,731,1325	4,3,6	1067,422,1170	0,0,1	102	99	1	1.0	0.994,0.996,0.995	1.0,1.0,0.999	-0.005
106	"AT4G13020"	"MHK"	chr4	+	7604329	7604446	7604356	7604446	7604203	7604272	106	1,1,0	69,77,113	0,0,2	148,72,152	125	99	1	1.0	0.011,0.01,0.0	0.0,0.0,0.01	0.004
108	"AT4G13020"	"MHK"	chr4	+	7606679	7607111	7606689	7607111	7606522	7606601	108	172,165,183	6,4,2	344,169,334	7,6,5	108	99	1	1.0	0.963,0.974,0.988	0.978,0.963,0.984	0.0
