ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	194,118,230	73,70,112	129,85,171	105,74,114	198	99
1	220,160,268	14,5,11	178,106,173	8,5,11	101	99
2	8,4,7	208,138,256	4,5,7	174,112,174	143	99
3	2,0,1	217,151,241	1,2,4	505,376,615	114	99
4	17,16,22	599,395,824	13,11,17	467,373,557	101	99
5	35,32,57	12,12,23	62,27,56	57,6,23	104	99
6	3,3,3	35,26,44	3,1,2	53,44,58	119	99
9	96,68,136	0,0,2	164,99,200	0,1,0	105	99
10	116,89,164	0,4,1	116,65,69	0,2,6	113	99
11	0,0,2	84,73,90	1,0,0	91,40,84	119	99
12	61,29,61	117,80,140	70,33,67	117,51,113	101	99
13	126,131,141	234,224,327	230,80,228	493,139,484	104	99
15	0,1,9	31,27,46	3,5,6	42,19,41	101	99
16	14,19,30	7,6,11	24,13,15	4,8,10	116	99
17	13,15,17	23,4,12	12,8,22	17,14,13	101	99
18	634,482,849	0,0,0	696,464,807	0,0,2	102	99
20	84,88,114	5,2,1	98,68,112	6,2,7	101	99
21	12,3,11	0,1,0	22,18,20	0,0,1	101	99
22	4,1,1	179,126,211	3,0,2	89,49,108	116	99
23	81,69,101	6,2,3	132,59,132	5,1,7	105	99
24	481,427,669	4,0,0	788,603,1035	6,6,3	102	99
25	27,28,50	19,14,19	42,47,56	26,21,29	103	99
26	221,158,275	344,274,452	198,154,195	376,266,425	107	99
27	29,25,38	10,12,24	32,19,35	10,2,17	101	99
28	6,2,9	3563,2866,5237	5,3,9	4276,2719,4569	120	99
29	35,40,53	2,1,2	82,29,78	1,2,0	110	99
30	100,89,156	0,3,0	110,82,112	0,0,2	101	99
31	58,55,69	15,17,18	89,56,92	30,18,37	101	99
32	1,4,3	16,7,18	11,0,8	13,8,10	101	99
33	1,0,1	0,0,0	0,0,1	1,0,0	101	99
34	0,1,0	5,3,6	0,0,0	5,5,5	101	99
37	0,0,0	44,41,57	1,0,1	52,21,48	167	99
38	55,48,74	16,9,21	66,31,50	17,8,17	100	99
39	1,2,0	17,17,14	0,0,1	14,3,19	128	99
40	11,6,3	8,20,21	4,2,4	17,8,24	101	99
41	42,41,58	25,31,48	50,28,47	44,24,33	101	99
42	1,0,3	69,48,99	2,0,0	68,31,54	104	99
43	7,10,22	12,18,29	18,11,17	33,8,35	101	99
44	173,130,175	0,2,2	269,110,258	1,0,4	101	99
46	9,3,5	1,0,1	4,6,12	0,2,3	133	99
47	16,9,23	0,0,2	29,6,26	0,0,0	198	99
48	54,47,76	0,0,0	100,55,99	0,0,2	111	99
49	70,50,97	2,0,1	115,46,103	0,0,1	113	99
50	56,46,86	0,0,1	72,39,80	0,1,2	105	99
51	5,5,8	0,0,1	25,9,27	0,0,0	122	99
52	381,313,599	11,7,25	539,373,582	24,21,23	101	99
53	59,55,68	3,0,5	64,54,76	4,9,2	104	99
55	266,183,341	0,0,2	274,201,298	0,0,1	101	99
57	6,9,7	411,351,523	9,6,10	568,344,617	118	99
59	16,2,3	14,3,9	8,12,6	2,2,5	118	99
63	25,24,49	21,30,17	32,11,53	16,6,30	101	99
65	37,29,37	1,0,0	49,26,43	0,0,1	106	99
66	29,32,30	8,11,21	44,18,50	10,3,17	118	99
67	4,4,12	37,20,39	0,4,6	30,18,28	107	99
68	153,111,183	40,27,43	131,72,150	27,16,52	107	99
69	271,206,389	67,64,71	348,196,332	62,67,103	101	99
70	63,58,97	0,0,3	97,37,89	1,0,0	105	99
71	238,190,268	2,1,3	236,121,233	3,5,5	110	99
72	0,1,2	20,17,35	1,0,1	16,21,19	128	99
