ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"AT4G35785"	"AT4G35785"	chr4	-	16953724	16953890	16953853	16953890	16953522	16953592
1	"AT4G32590"	"AT4G32590"	chr4	+	15722015	15722073	15722015	15722069	15722237	15722300
2	"AT4G32590"	"AT4G32590"	chr4	+	15722237	15722304	15722237	15722300	15722545	15722608
3	"AT1G74560"	"NRP1"	chr1	-	28018137	28018194	28018165	28018194	28018002	28018050
4	"AT1G52220"	"CURT1C"	chr1	-	19454377	19454697	19454380	19454697	19454186	19454273
5	"AT2G43920"	"HOL2"	chr2	-	18189716	18189767	18189720	18189767	18189505	18189584
6	"AT4G33520"	"PAA1"	chr4	+	16125440	16125525	16125440	16125521	16125625	16126150
7	"AT5G03660"	"AT5G03660"	chr5	+	938679	938790	938679	938724	938991	939072
8	"AT4G37060"	"PLP5"	chr4	-	17463503	17463734	17463596	17463734	17463198	17463380
9	"AT4G37520"	"PER50"	chr4	+	17632001	17632202	17632001	17632193	17632275	17632441
10	"AT4G20350"	"AT4G20350"	chr4	+	10988717	10988760	10988717	10988756	10988855	10988968
11	"AT1G78870"	"UBC35"	chr1	+	29650928	29651018	29650928	29651015	29651315	29651374
12	"AT3G03100"	"AT3G03100"	chr3	-	706206	706302	706210	706302	705821	705927
13	"AT5G37370"	"ATSRL1"	chr5	-	14814207	14814279	14814231	14814279	14812684	14813582
14	"AT1G15860"	"AT1G15860"	chr1	+	5456303	5456437	5456303	5456410	5456503	5456569
15	"AT4G03200"	"AT4G03200"	chr4	+	1408158	1408858	1408158	1408589	1409307	1409386
16	"AT1G78510"	"SPS1"	chr1	-	29536972	29537417	29536976	29537417	29536697	29536822
17	"AT2G45280"	"RAD51C"	chr2	+	18670008	18670349	18670008	18670277	18670489	18670576
18	"AT1G07890"	"APX1"	chr1	+	2437677	2437833	2437677	2437741	2437992	2438123
19	"AT5G20570"	"RBX1A"	chr5	-	6958031	6958311	6958085	6958311	6957907	6957958
20	"AT1G32190"	"AT1G32190"	chr1	-	11594627	11594664	11594632	11594664	11594171	11594408
21	"AT2G21230"	"BZIP30"	chr2	-	9094540	9094643	9094558	9094643	9093623	9094134
22	"AT3G07740"	"ADA2A"	chr3	-	2472380	2472583	2472401	2472583	2472186	2472252
23	"AT2G42380"	"BZIP34"	chr2	-	17647814	17647905	17647834	17647905	17647573	17647687
24	"AT3G25230"	"FKBP62"	chr3	+	9190933	9191030	9190933	9191028	9191131	9191419
25	"AT1G56280"	"ATDI19"	chr1	-	21074056	21074199	21074059	21074199	21073908	21073974
26	"AT1G67500"	"REV3"	chr1	-	25294487	25294841	25294657	25294841	25292788	25294409
27	"AT3G04910"	"WNK1"	chr3	+	1355239	1355277	1355239	1355275	1355717	1355945
28	"AT5G57290"	"RPP3B"	chr5	-	23207637	23207926	23207640	23207926	23206801	23207213
29	"AT2G47690"	"AT2G47690"	chr2	+	19551262	19551521	19551262	19551517	19551950	19552358
